time_ms,throttle,pitch,roll,yaw,m1,m2,m3,m4
28381,1498,-3.25,3.0,-1.58,1000,1000,1000,1000
28515,1498,-3.04,2.93,-0.95,1000,1000,1000,1000
28652,1498,-2.81,2.49,7.47,1000,1000,1000,1000
28768,1498,-1.11,3.13,2.41,1000,1000,1000,1000
28885,1498,2.11,3.27,0.58,1000,1000,1000,1000
29043,1498,5.85,3.09,-2.54,1000,1000,1000,1000
29156,1498,7.14,3.26,-0.57,1000,1000,1000,1000
29294,1498,7.32,3.35,0.14,1000,1000,1000,1000
29409,1498,7.11,3.23,0.34,1000,1000,1000,1000
29521,1498,7.16,3.41,-1.72,1000,1000,1000,1000
29702,1498,6.87,3.11,0.83,1000,1000,1000,1000
29813,1498,6.74,3.17,0.01,1000,1000,1000,1000
29931,1498,7.29,3.17,0.02,1000,1000,1000,1000
30068,1498,7.24,3.15,0.27,1000,1000,1000,1000
30233,1498,7.28,3.16,0.16,1000,1000,1000,1000
30365,1498,7.27,3.23,-0.27,1000,1000,1000,1000
30482,1498,6.27,3.2,-1.01,1000,1000,1000,1000
30662,1498,2.86,3.11,-0.27,1000,1000,1000,1000
30795,1498,-0.75,3.13,-0.59,1000,1000,1000,1000
30982,1498,-3.87,2.65,0.08,1000,1000,1000,1000
31115,1498,-3.86,2.97,0.24,1000,1000,1000,1000
31253,1498,-3.92,3.13,0.05,1000,1000,1000,1000
31384,1498,-3.88,3.16,0.29,1000,1000,1000,1000
31502,1498,-3.85,3.17,0.27,1000,1000,1000,1000
31613,1498,-3.85,3.16,0.27,1000,1000,1000,1000
31724,1499,-3.84,3.15,0.18,1000,1000,1000,1000
31838,1499,-3.86,3.11,0.27,1000,1000,1000,1000
31954,1498,-3.85,3.11,0.11,1000,1000,1000,1000
32063,1498,-3.82,3.14,0.28,1000,1000,1000,1000
32224,1498,-3.84,3.12,0.15,1000,1000,1000,1000
32362,1498,-3.86,3.15,0.15,1000,1000,1000,1000
32479,1498,-3.85,3.17,0.21,1000,1000,1000,1000
32619,1498,-3.84,3.12,0.27,1000,1000,1000,1000
32731,1498,-3.86,2.9,0.94,1000,1000,1000,1000
32847,1498,-4.1,2.62,2.03,1000,1000,1000,1000
32958,1498,-4.53,2.29,6.44,1000,1000,1000,1000
